Reference	Disease	Cluster	Gene
Plasschaert et al	Epithelial	Basal	Pdzd2
Plasschaert et al	Epithelial	Basal	Notch1
Plasschaert et al	Epithelial	Basal	Rpl18-ps1
Plasschaert et al	Epithelial	Basal	Ndrg2
Plasschaert et al	Epithelial	Basal	Rpl28
Plasschaert et al	Epithelial	Basal	Aqp3
Plasschaert et al	Epithelial	Basal	Gm20302
Plasschaert et al	Epithelial	Basal	Rnd3
Plasschaert et al	Epithelial	Basal	Rps27rt
Plasschaert et al	Epithelial	Basal	Gm7536
Plasschaert et al	Epithelial	Basal	Rpl26
Plasschaert et al	Epithelial	Basal	Rps16-ps2
Plasschaert et al	Epithelial	Basal	Rps27
Plasschaert et al	Epithelial	Basal	Rpl9-ps6
Plasschaert et al	Epithelial	Basal	Cdh3
Plasschaert et al	Epithelial	Basal	Gm15500
Plasschaert et al	Epithelial	Basal	Rps23-ps1
Plasschaert et al	Epithelial	Basal	Ugt2b34
Plasschaert et al	Epithelial	Basal	Tpt1-ps3
Plasschaert et al	Epithelial	Basal	Phlda3
Plasschaert et al	Epithelial	Basal	Gm6085
Plasschaert et al	Epithelial	Basal	RP24-291E8.2
Plasschaert et al	Epithelial	Basal	RP23-263B18.4
Plasschaert et al	Epithelial	Basal	Gas6
Plasschaert et al	Epithelial	Basal	Ctdspl
Plasschaert et al	Epithelial	Basal	Rps23-ps2
Plasschaert et al	Epithelial	Basal	2900026A02Rik
Plasschaert et al	Epithelial	Basal	Rpl9
Plasschaert et al	Epithelial	Basal	Ngfr
Plasschaert et al	Epithelial	Basal	Tppp
Plasschaert et al	Epithelial	Basal	Aldh6a1
Plasschaert et al	Epithelial	Basal	RP23-151G22.1
Plasschaert et al	Epithelial	Basal	Gstm2
Plasschaert et al	Epithelial	Basal	Rps15-ps2
Plasschaert et al	Epithelial	Basal	Rpl18a
Plasschaert et al	Epithelial	Basal	Rpl30
Plasschaert et al	Epithelial	Basal	Gnb2l1
Plasschaert et al	Epithelial	Basal	Sdc1
Plasschaert et al	Epithelial	Basal	Rps27a-ps1
Plasschaert et al	Epithelial	Basal	Rps18
Plasschaert et al	Epithelial	Basal	Rpl7
Plasschaert et al	Epithelial	Basal	Rpl23
Plasschaert et al	Epithelial	Basal	Rpl18-ps2
Plasschaert et al	Epithelial	Basal	Gltscr2
Plasschaert et al	Epithelial	Basal	Acaa1b
Plasschaert et al	Epithelial	Basal	Rps18-ps3
Plasschaert et al	Epithelial	Basal	Rps19
Plasschaert et al	Epithelial	Basal	Rps21
Plasschaert et al	Epithelial	Basal	Rps10
Plasschaert et al	Epithelial	Basal	Mylip
Plasschaert et al	Epithelial	Basal	Gm4997
Plasschaert et al	Epithelial	Basal	Rps12-ps3
Plasschaert et al	Epithelial	Basal	Gm2000
Plasschaert et al	Epithelial	Basal	Dapl1
Plasschaert et al	Epithelial	Basal	Rps25-ps1
Plasschaert et al	Epithelial	Basal	Rps3
Plasschaert et al	Epithelial	Basal	Gm10073
Plasschaert et al	Epithelial	Cycling Basal	Mki67
Plasschaert et al	Epithelial	Cycling Basal	Cdca3
Plasschaert et al	Epithelial	Cycling Basal	Birc5
Plasschaert et al	Epithelial	Cycling Basal	Hist1h2ap
Plasschaert et al	Epithelial	Cycling Basal	Ccnb2
Plasschaert et al	Epithelial	Cycling Basal	Ccna2
Plasschaert et al	Epithelial	Cycling Basal	Ube2c
Plasschaert et al	Epithelial	Cycling Basal	Tk1
Plasschaert et al	Epithelial	Cycling Basal	Top2a
Plasschaert et al	Epithelial	Cycling Basal	Plk1
Plasschaert et al	Epithelial	Cycling Basal	Anln
Plasschaert et al	Epithelial	Cycling Basal	Ccnb1
Plasschaert et al	Epithelial	Cycling Basal	Prc1
Plasschaert et al	Epithelial	Cycling Basal	Cdc20
Plasschaert et al	Epithelial	Cycling Basal	Kif23
Plasschaert et al	Epithelial	Cycling Basal	Racgap1
Plasschaert et al	Epithelial	Cycling Basal	Hist1h2ao
Plasschaert et al	Epithelial	Cycling Basal	Cdca8
Plasschaert et al	Epithelial	Cycling Basal	Fam64a
Plasschaert et al	Epithelial	Cycling Basal	2810417H13Rik
Plasschaert et al	Epithelial	Cycling Basal	Hmgb2
Plasschaert et al	Epithelial	Cycling Basal	Cep55
Plasschaert et al	Epithelial	Cycling Basal	Hmmr
Plasschaert et al	Epithelial	Cycling Basal	Cks2
Plasschaert et al	Epithelial	Cycling Basal	Iqgap3
Plasschaert et al	Epithelial	Cycling Basal	Nusap1
Plasschaert et al	Epithelial	Cycling Basal	Cks1b
Plasschaert et al	Epithelial	Cycling Basal	Knstrn
Plasschaert et al	Epithelial	Cycling Basal	Trim59
Plasschaert et al	Epithelial	Cycling Basal	Ect2
Plasschaert et al	Epithelial	Cycling Basal	Cdk1
Plasschaert et al	Epithelial	Cycling Basal	Stmn1
Plasschaert et al	Epithelial	Cycling Basal	Cdkn3
Plasschaert et al	Epithelial	Cycling Basal	Aspm
Plasschaert et al	Epithelial	Cycling Basal	Tubb6
Plasschaert et al	Epithelial	Cycling Basal	Cenpa
Plasschaert et al	Epithelial	Cycling Basal	Bub1b
Plasschaert et al	Epithelial	Cycling Basal	Cenpe
Plasschaert et al	Epithelial	Cycling Basal	Incenp
Plasschaert et al	Epithelial	Cycling Basal	Spc25
Plasschaert et al	Epithelial	Cycling Basal	Aurkb
Plasschaert et al	Epithelial	Cycling Basal	Kif20a
Plasschaert et al	Epithelial	Cycling Basal	Asf1b
Plasschaert et al	Epithelial	Cycling Basal	Ncapd2
Plasschaert et al	Epithelial	Cycling Basal	Ncaph
Plasschaert et al	Epithelial	Cycling Basal	Mad2l1
Plasschaert et al	Epithelial	Cycling Basal	Nuf2
Plasschaert et al	Epithelial	Cycling Basal	Aurka
Plasschaert et al	Epithelial	Cycling Basal	Espl1
Plasschaert et al	Epithelial	Cycling Basal	Cenpf
Plasschaert et al	Epithelial	Cycling Basal	Smc4
Plasschaert et al	Epithelial	Cycling Basal	Kifc1
Plasschaert et al	Epithelial	Cycling Basal	Ckap2l
Plasschaert et al	Epithelial	Cycling Basal	Mxd3
Plasschaert et al	Epithelial	Cycling Basal	Foxm1
Plasschaert et al	Epithelial	Cycling Basal	Tacc3
Plasschaert et al	Epithelial	Cycling Basal	Tpx2
Plasschaert et al	Epithelial	Cycling Basal	Gpsm2
Plasschaert et al	Epithelial	Cycling Basal	Depdc1a
Plasschaert et al	Epithelial	Cycling Basal	H2afx
Plasschaert et al	Epithelial	Cycling Basal	Pbk
Plasschaert et al	Epithelial	Cycling Basal	Fam83d
Plasschaert et al	Epithelial	Cycling Basal	Cdc25c
Plasschaert et al	Epithelial	Cycling Basal	Sgol2a
Plasschaert et al	Epithelial	Cycling Basal	Rrm2
Plasschaert et al	Epithelial	Cycling Basal	Kpna2
Plasschaert et al	Epithelial	Cycling Basal	Nrm
Plasschaert et al	Epithelial	Cycling Basal	Ndc80
Plasschaert et al	Epithelial	Cycling Basal	Tubb5
Plasschaert et al	Epithelial	Cycling Basal	Rrm1
Plasschaert et al	Epithelial	Cycling Basal	Cenpm
Plasschaert et al	Epithelial	Cycling Basal	Kif4
Plasschaert et al	Epithelial	Cycling Basal	Kif2c
Plasschaert et al	Epithelial	Cycling Basal	Pif1
Plasschaert et al	Epithelial	Cycling Basal	Arhgap11a
Plasschaert et al	Epithelial	Cycling Basal	Cdca2
Plasschaert et al	Epithelial	Cycling Basal	Ncapg
Plasschaert et al	Epithelial	Cycling Basal	Kif20b
Plasschaert et al	Epithelial	Cycling Basal	Kif15
Plasschaert et al	Epithelial	Cycling Basal	Kif18b
Plasschaert et al	Epithelial	Cycling Basal	Gas2l3
Plasschaert et al	Epithelial	Cycling Basal	Fbxo5
Plasschaert et al	Epithelial	Cycling Basal	Esco2
Plasschaert et al	Epithelial	Cycling Basal	Gm13237
Plasschaert et al	Epithelial	Cycling Basal	2700099C18Rik
Plasschaert et al	Epithelial	Cycling Basal	Nde1
Plasschaert et al	Epithelial	Cycling Basal	Mis18bp1
Plasschaert et al	Epithelial	Cycling Basal	Sgol1
Plasschaert et al	Epithelial	Cycling Basal	Bora
Plasschaert et al	Epithelial	Cycling Basal	Diap3
Plasschaert et al	Epithelial	Cycling Basal	Arl6ip1
Plasschaert et al	Epithelial	Cycling Basal	Lmnb1
Plasschaert et al	Epithelial	Cycling Basal	H2afz
Plasschaert et al	Epithelial	Cycling Basal	Kif22
Plasschaert et al	Epithelial	Cycling Basal	C330027C09Rik
Plasschaert et al	Epithelial	Cycling Basal	Fen1
Plasschaert et al	Epithelial	Cycling Basal	Smc2
Plasschaert et al	Epithelial	Cycling Basal	Sprr2a3
Plasschaert et al	Epithelial	Cycling Basal	Cdkn2c
Plasschaert et al	Epithelial	Cycling Basal	Tuba1c
Plasschaert et al	Epithelial	Cycling Basal	Gm13160
Plasschaert et al	Epithelial	Cycling Basal	Arhgef39
Plasschaert et al	Epithelial	Cycling Basal	Sprr2a2
Plasschaert et al	Epithelial	Cycling Basal	Spc24
Plasschaert et al	Epithelial	Cycling Basal	Serpinb8
Plasschaert et al	Epithelial	Cycling Basal	Gtse1
Plasschaert et al	Epithelial	Cycling Basal	Gm10184
Plasschaert et al	Epithelial	Cycling Basal	Tcf19
Plasschaert et al	Epithelial	Cycling Basal	Rad51
Plasschaert et al	Epithelial	Cycling Basal	Arhgap19
Plasschaert et al	Epithelial	Cycling Basal	Cdkn2d
Plasschaert et al	Epithelial	Cycling Basal	Rad54l
Plasschaert et al	Epithelial	Cycling Basal	Atad2
Plasschaert et al	Epithelial	Cycling Basal	Fn1
Plasschaert et al	Epithelial	Cycling Basal	Tmpo
Plasschaert et al	Epithelial	Cycling Basal	H2afv
Plasschaert et al	Epithelial	Cycling Basal	Ckap2
Plasschaert et al	Epithelial	Cycling Basal	Ube2t
Plasschaert et al	Epithelial	Cycling Basal	Dlgap5
Plasschaert et al	Epithelial	Cycling Basal	G2e3
Plasschaert et al	Epithelial	Cycling Basal	Cep192
Plasschaert et al	Epithelial	Cycling Basal	2700094K13Rik
Plasschaert et al	Epithelial	Cycling Basal	Sae1
Plasschaert et al	Epithelial	Cycling Basal	Uhrf1
Plasschaert et al	Epithelial	Cycling Basal	Rangap1
Plasschaert et al	Epithelial	Cycling Basal	Dnph1
Plasschaert et al	Epithelial	Cycling Basal	Suv39h1
Plasschaert et al	Epithelial	Cycling Basal	Alg14
Plasschaert et al	Epithelial	Cycling Basal	Rad21
Plasschaert et al	Epithelial	Cycling Basal	Mis18a
Plasschaert et al	Epithelial	Cycling Basal	Ptn
Plasschaert et al	Epithelial	Cycling Basal	Cenpw
Plasschaert et al	Epithelial	Cycling Basal	Plac9b
Plasschaert et al	Epithelial	Cycling Basal	H1fx
Plasschaert et al	Epithelial	Cycling Basal	Fam111a
Plasschaert et al	Epithelial	Cycling Basal	H1f0
Plasschaert et al	Epithelial	Cycling Basal	Nucks1
Plasschaert et al	Epithelial	Cycling Basal	Ube2s
Plasschaert et al	Epithelial	Cycling Basal	Pmf1
Plasschaert et al	Epithelial	Cycling Basal	Cbx3
Plasschaert et al	Epithelial	Cycling Basal	Mcm3
Plasschaert et al	Epithelial	Cycling Basal	Plac9a
Plasschaert et al	Epithelial	Cycling Basal	Ran
Plasschaert et al	Epithelial	Cycling Basal	Lsm2
Plasschaert et al	Epithelial	Cycling Basal	Usp1
Plasschaert et al	Epithelial	Cycling Basal	Casc5
Plasschaert et al	Epithelial	Cycling Basal	Topbp1
Plasschaert et al	Epithelial	Cycling Basal	Psat1
Plasschaert et al	Epithelial	Cycling Basal	Kif11
Plasschaert et al	Epithelial	Cycling Basal	Alyref
Plasschaert et al	Epithelial	Cycling Basal	Hjurp
Plasschaert et al	Epithelial	Cycling Basal	01/09/10
Plasschaert et al	Epithelial	Cycling Basal	Tex10
Plasschaert et al	Epithelial	Cycling Basal	Lbr
Plasschaert et al	Epithelial	Cycling Basal	Ska3
Plasschaert et al	Epithelial	Cycling Basal	Lsm3
Plasschaert et al	Epithelial	Cycling Basal	Rnf26
Plasschaert et al	Epithelial	Cycling Basal	Rnaseh2c
Plasschaert et al	Epithelial	Cycling Basal	Gm21596
Plasschaert et al	Epithelial	Cycling Basal	Nup62
Plasschaert et al	Epithelial	Cycling Basal	Ptms
Plasschaert et al	Epithelial	Cycling Basal	Hmgb1
Plasschaert et al	Epithelial	Cycling Basal	Lig1
Plasschaert et al	Epithelial	Cycling Basal	Tmem194
Plasschaert et al	Epithelial	Cycling Basal	Cenpl
Plasschaert et al	Epithelial	Cycling Basal	Snrpd1
Plasschaert et al	Epithelial	Cycling Basal	Lsm5
Plasschaert et al	Epithelial	Cycling Basal	Cenpn
Plasschaert et al	Epithelial	Cycling Basal	Mcm7
Plasschaert et al	Epithelial	Cycling Basal	Ccng2
Plasschaert et al	Epithelial	Cycling Basal	Reep4
Plasschaert et al	Epithelial	Cycling Basal	Miip
Plasschaert et al	Epithelial	Cycling Basal	Lin54
Plasschaert et al	Epithelial	Cycling Basal	Nsmce2
Plasschaert et al	Epithelial	Cycling Basal	Hirip3
Plasschaert et al	Epithelial	Cycling Basal	Cdca4
Plasschaert et al	Epithelial	Cycling Basal	Hn1
Plasschaert et al	Epithelial	Cycling Basal	Gm12504
Plasschaert et al	Epithelial	Cycling Basal	Dut
Plasschaert et al	Epithelial	Cycling Basal	Pcna-ps2
Plasschaert et al	Epithelial	Cycling Basal	Nudt1
Plasschaert et al	Epithelial	Cycling Basal	Lmna
Plasschaert et al	Epithelial	Cycling Basal	Smc1a
Plasschaert et al	Epithelial	Cycling Basal	Banf1
Plasschaert et al	Epithelial	Cycling Basal	Dck
Plasschaert et al	Epithelial	Cycling Basal	Ncapd3
Plasschaert et al	Epithelial	Cycling Basal	Ckap5
Plasschaert et al	Epithelial	Cycling Basal	Id3
Plasschaert et al	Epithelial	Cycling Basal	Ptma
Plasschaert et al	Epithelial	Cycling Basal	Hp1bp3
Plasschaert et al	Epithelial	Cycling Basal	Gm8186
Plasschaert et al	Epithelial	Cycling Basal	Hn1l
Plasschaert et al	Epithelial	Cycling Basal	Rfwd3
Plasschaert et al	Epithelial	Cycling Basal	Rcc1
Plasschaert et al	Epithelial	Cycling Basal	Ppia
Plasschaert et al	Epithelial	Cycling Basal	Gm12355
Plasschaert et al	Epithelial	Cycling Basal	Snrpg
Plasschaert et al	Epithelial	Cycling Basal	Zdhhc2
Plasschaert et al	Epithelial	Cycling Basal	Hmgn2
Plasschaert et al	Epithelial	Cycling Basal	Hnrnpul2
Plasschaert et al	Epithelial	Cycling Basal	Dbf4
Plasschaert et al	Epithelial	Cycling Basal	Anapc5
Plasschaert et al	Epithelial	Cycling Basal	Lsm8
Plasschaert et al	Epithelial	Cycling Basal	Rasl2-9
Plasschaert et al	Epithelial	Cycling Basal	Srrt
Plasschaert et al	Epithelial	Cycling Basal	Ywhah
Plasschaert et al	Epithelial	Cycling Basal	Xpo1
Plasschaert et al	Epithelial	Cycling Basal	Kpnb1
Plasschaert et al	Epithelial	Cycling Basal	Ndc1
Plasschaert et al	Epithelial	Cycling Basal	Gm5641
Plasschaert et al	Epithelial	Cycling Basal	Frat2
Plasschaert et al	Epithelial	Cycling Basal	Clic1
Plasschaert et al	Epithelial	Cycling Basal	Lsm6
Plasschaert et al	Epithelial	Cycling Basal	Hdgf
Plasschaert et al	Epithelial	Cycling Basal	Gm11438
Plasschaert et al	Epithelial	Cycling Basal	Atp1b3
Plasschaert et al	Epithelial	Cycling Basal	Nxt1
Plasschaert et al	Epithelial	Cycling Basal	Fmr1
Plasschaert et al	Epithelial	Cycling Basal	Cit
Plasschaert et al	Epithelial	Cycling Basal	Sh3gl1
Plasschaert et al	Epithelial	Cycling Basal	Vangl1
Plasschaert et al	Epithelial	Cycling Basal	Dek
Plasschaert et al	Epithelial	Cycling Basal	Tmem167
Plasschaert et al	Epithelial	Krt4/13+	S100g
Plasschaert et al	Epithelial	Krt4/13+	Serpinb2
Plasschaert et al	Epithelial	Krt4/13+	Gm9573
Plasschaert et al	Epithelial	Krt4/13+	Alox12e
Plasschaert et al	Epithelial	Krt4/13+	Ecm1
Plasschaert et al	Epithelial	Krt4/13+	Krt13
Plasschaert et al	Epithelial	Krt4/13+	Cwh43
Plasschaert et al	Epithelial	Krt4/13+	Calcb
Plasschaert et al	Epithelial	Krt4/13+	2300002M23Rik
Plasschaert et al	Epithelial	Krt4/13+	Mal
Plasschaert et al	Epithelial	Krt4/13+	Krt4
Plasschaert et al	Epithelial	Krt4/13+	Upk3bl
Plasschaert et al	Epithelial	Krt4/13+	Ly6g6c
Plasschaert et al	Epithelial	Krt4/13+	Lgals3
Plasschaert et al	Epithelial	Krt4/13+	Ptgs2
Plasschaert et al	Epithelial	Krt4/13+	Ces1h
Plasschaert et al	Epithelial	Krt4/13+	Psca
Plasschaert et al	Epithelial	Krt4/13+	Cldn4
Plasschaert et al	Epithelial	Krt4/13+	Anxa1
Plasschaert et al	Epithelial	Krt4/13+	Calml3
Plasschaert et al	Epithelial	Krt4/13+	Clic3
Plasschaert et al	Epithelial	Krt4/13+	Upk1b
Plasschaert et al	Epithelial	Krt4/13+	Paqr8
Plasschaert et al	Epithelial	Krt4/13+	Evpl
Plasschaert et al	Epithelial	Krt4/13+	Capn5
Plasschaert et al	Epithelial	Krt4/13+	Clca3b
Plasschaert et al	Epithelial	Krt4/13+	Kctd14
Plasschaert et al	Epithelial	Krt4/13+	Cdkn2b
Plasschaert et al	Epithelial	Krt4/13+	Aqp5
Plasschaert et al	Epithelial	Krt4/13+	2200002D01Rik
Plasschaert et al	Epithelial	Krt4/13+	AI661453
Plasschaert et al	Epithelial	Krt4/13+	S100a6
Plasschaert et al	Epithelial	Krt4/13+	Ceacam1
Plasschaert et al	Epithelial	Krt4/13+	Trex2
Plasschaert et al	Epithelial	Krt4/13+	Nr4a1
Plasschaert et al	Epithelial	Krt4/13+	Ceacam2
Plasschaert et al	Epithelial	Krt4/13+	Pmm1
Plasschaert et al	Epithelial	Krt4/13+	Pdlim2
Plasschaert et al	Epithelial	Krt4/13+	Ppl
Plasschaert et al	Epithelial	Krt4/13+	Mboat1
Plasschaert et al	Epithelial	Krt4/13+	Pdzk1ip1
Plasschaert et al	Epithelial	Krt4/13+	Aldh3b2
Plasschaert et al	Epithelial	Krt4/13+	Kcnk5
Plasschaert et al	Epithelial	Krt4/13+	Foxq1
Plasschaert et al	Epithelial	Krt4/13+	Gm6578
Plasschaert et al	Epithelial	Krt4/13+	Slc22a4
Plasschaert et al	Epithelial	Krt4/13+	Serpinb1a
Plasschaert et al	Epithelial	Krt4/13+	Cd44
Plasschaert et al	Epithelial	Krt4/13+	Zyx
Plasschaert et al	Epithelial	Krt4/13+	Tmem43
Plasschaert et al	Epithelial	Krt4/13+	F5
Plasschaert et al	Epithelial	Krt4/13+	Tacstd2
Plasschaert et al	Epithelial	Krt4/13+	Ahr
Plasschaert et al	Epithelial	Krt4/13+	Thsd4
Plasschaert et al	Epithelial	Krt4/13+	B4galt5
Plasschaert et al	Epithelial	Krt4/13+	Rhov
Plasschaert et al	Epithelial	Krt4/13+	Lamc2
Plasschaert et al	Epithelial	Krt4/13+	Hspbap1
Plasschaert et al	Epithelial	Krt4/13+	Porcn
Plasschaert et al	Epithelial	Krt4/13+	Pdlim1
Plasschaert et al	Epithelial	Krt4/13+	Gprc5a
Plasschaert et al	Epithelial	Krt4/13+	Syt8
Plasschaert et al	Epithelial	Krt4/13+	Cxcl16
Plasschaert et al	Epithelial	Krt4/13+	Spns2
Plasschaert et al	Epithelial	Krt4/13+	Anxa2
Plasschaert et al	Epithelial	Krt4/13+	Krt19
Plasschaert et al	Epithelial	Krt4/13+	Wnt7b
Plasschaert et al	Epithelial	Krt4/13+	Serpinb10
Plasschaert et al	Epithelial	Krt4/13+	Adamtsl4
Plasschaert et al	Epithelial	Krt4/13+	St3gal4
Plasschaert et al	Epithelial	Krt4/13+	Sowahb
Plasschaert et al	Epithelial	Krt4/13+	Igfbp3
Plasschaert et al	Epithelial	Krt4/13+	Tspo
Plasschaert et al	Epithelial	Krt4/13+	Coq10b
Plasschaert et al	Epithelial	Krt4/13+	Myo1c
Plasschaert et al	Epithelial	Krt4/13+	Pmp22
Plasschaert et al	Epithelial	Krt4/13+	Prss22
Plasschaert et al	Epithelial	Krt4/13+	Socs2
Plasschaert et al	Epithelial	Krt4/13+	Plaur
Plasschaert et al	Epithelial	Krt4/13+	Pttg1ip
Plasschaert et al	Epithelial	Krt4/13+	Krt15
Plasschaert et al	Epithelial	Krt4/13+	Epha2
Plasschaert et al	Epithelial	Krt4/13+	Clic5
Plasschaert et al	Epithelial	Krt4/13+	Cast
Plasschaert et al	Epithelial	Krt4/13+	Bbc3
Plasschaert et al	Epithelial	Krt4/13+	Rab11fip1
Plasschaert et al	Epithelial	Krt4/13+	Scel
Plasschaert et al	Epithelial	Krt4/13+	Atp2b1
Plasschaert et al	Epithelial	Krt4/13+	Pllp
Plasschaert et al	Epithelial	Krt4/13+	Cav1
Plasschaert et al	Epithelial	Krt4/13+	Lmo7
Plasschaert et al	Epithelial	Krt4/13+	Capg
Plasschaert et al	Epithelial	Krt4/13+	Hspb1
Plasschaert et al	Epithelial	Krt4/13+	Pvrl4
Plasschaert et al	Epithelial	Krt4/13+	Krt7
Plasschaert et al	Epithelial	Krt4/13+	Ppap2c
Plasschaert et al	Epithelial	Krt4/13+	Rnh1
Plasschaert et al	Epithelial	Krt4/13+	Ly6g6e
Plasschaert et al	Epithelial	Krt4/13+	Arhgap12
Plasschaert et al	Epithelial	Krt4/13+	Gsta4
Plasschaert et al	Epithelial	Krt4/13+	Vcl
Plasschaert et al	Epithelial	Krt4/13+	Ahnak
Plasschaert et al	Epithelial	Krt4/13+	Fam129b
Plasschaert et al	Epithelial	Krt4/13+	Esd
Plasschaert et al	Epithelial	Krt4/13+	Anxa3
Plasschaert et al	Epithelial	Krt4/13+	Adh7
Plasschaert et al	Epithelial	Krt4/13+	Emp1
Plasschaert et al	Epithelial	Krt4/13+	Muc4
Plasschaert et al	Epithelial	Krt4/13+	Bhlhe40
Plasschaert et al	Epithelial	Krt4/13+	Mall
Plasschaert et al	Epithelial	Krt4/13+	G6pdx
Plasschaert et al	Epithelial	Krt4/13+	Ttc36
Plasschaert et al	Epithelial	Krt4/13+	Baiap2
Plasschaert et al	Epithelial	Krt4/13+	Samhd1
Plasschaert et al	Epithelial	Krt4/13+	Myof
Plasschaert et al	Epithelial	Krt4/13+	Ffar4
Plasschaert et al	Epithelial	Krt4/13+	Cldn3
Plasschaert et al	Epithelial	Krt4/13+	Ces1d
Plasschaert et al	Epithelial	Krt4/13+	Klf6
Plasschaert et al	Epithelial	Krt4/13+	S100a14
Plasschaert et al	Epithelial	Krt4/13+	Unc5b
Plasschaert et al	Epithelial	Krt4/13+	Aph1a
Plasschaert et al	Epithelial	Krt4/13+	Ptgr1
Plasschaert et al	Epithelial	Krt4/13+	Arrdc3
Plasschaert et al	Epithelial	Krt4/13+	Lad1
Plasschaert et al	Epithelial	Krt4/13+	Ltf
Plasschaert et al	Epithelial	Krt4/13+	Jund
Plasschaert et al	Epithelial	Krt4/13+	Akr1b3
Plasschaert et al	Epithelial	Krt4/13+	Efhd2
Plasschaert et al	Epithelial	Krt4/13+	Oasl2
Plasschaert et al	Epithelial	Krt4/13+	Ubc
Plasschaert et al	Epithelial	Krt4/13+	Mfge8
Plasschaert et al	Epithelial	Krt4/13+	Alox15
Plasschaert et al	Epithelial	Krt4/13+	Alcam
Plasschaert et al	Epithelial	Krt4/13+	Kctd10
Plasschaert et al	Epithelial	Krt4/13+	Ocln
Plasschaert et al	Epithelial	Krt4/13+	Gsk3b
Plasschaert et al	Epithelial	Krt4/13+	Ctsc
Plasschaert et al	Epithelial	Krt4/13+	Gabrp
Plasschaert et al	Epithelial	Secretory	Pon1
Plasschaert et al	Epithelial	Secretory	Sftpa1
Plasschaert et al	Epithelial	Secretory	Muc5b
Plasschaert et al	Epithelial	Secretory	Chad
Plasschaert et al	Epithelial	Secretory	Bpifa1
Plasschaert et al	Epithelial	Secretory	Slc4a5
Plasschaert et al	Epithelial	Secretory	Cyp4a12b
Plasschaert et al	Epithelial	Secretory	Scgb1a1
Plasschaert et al	Epithelial	Secretory	Fcgbp
Plasschaert et al	Epithelial	Secretory	Reg3g
Plasschaert et al	Epithelial	Secretory	Cp
Plasschaert et al	Epithelial	Secretory	Steap4
Plasschaert et al	Epithelial	Secretory	Cldn22
Plasschaert et al	Epithelial	Secretory	Scgb3a2
Plasschaert et al	Epithelial	Secretory	Hp
Plasschaert et al	Epithelial	Secretory	Ces1f
Plasschaert et al	Epithelial	Secretory	Fut9
Plasschaert et al	Epithelial	Secretory	AU021092
Plasschaert et al	Epithelial	Secretory	Cyp4a12a
Plasschaert et al	Epithelial	Secretory	Msln
Plasschaert et al	Epithelial	Secretory	Tyro3
Plasschaert et al	Epithelial	Secretory	Bpifb1
Plasschaert et al	Epithelial	Secretory	C3
Plasschaert et al	Epithelial	Secretory	Aox3
Plasschaert et al	Epithelial	Secretory	Idh1
Plasschaert et al	Epithelial	Secretory	Tnfaip2
Plasschaert et al	Epithelial	Secretory	Trf
Plasschaert et al	Epithelial	Secretory	Ascc2
Plasschaert et al	Epithelial	Secretory	Slco4c1
Plasschaert et al	Epithelial	Secretory	5330417C22Rik
Plasschaert et al	Epithelial	Secretory	Slc1a1
Plasschaert et al	Epithelial	Secretory	Clca1
Plasschaert et al	Epithelial	Secretory	Slc38a8
Plasschaert et al	Epithelial	Secretory	Cfb
Plasschaert et al	Epithelial	Secretory	Tst
Plasschaert et al	Epithelial	Secretory	Stxbp6
Plasschaert et al	Epithelial	Secretory	Ano1
Plasschaert et al	Epithelial	Secretory	Atp13a5
Plasschaert et al	Epithelial	Secretory	Creb3l1
Plasschaert et al	Epithelial	Secretory	St8sia6
Plasschaert et al	Epithelial	Secretory	Dmbt1
Plasschaert et al	Epithelial	Secretory	Pigr
Plasschaert et al	Epithelial	Secretory	Gm20547
Plasschaert et al	Epithelial	Secretory	P2rx4
Plasschaert et al	Epithelial	Secretory	Cd36
Plasschaert et al	Epithelial	Secretory	Gsta3
Plasschaert et al	Epithelial	Secretory	Agr2
Plasschaert et al	Epithelial	Secretory	Gstm6
Plasschaert et al	Epithelial	Secretory	Isg20
Plasschaert et al	Epithelial	Secretory	Slc15a2
Plasschaert et al	Epithelial	Secretory	Ly6k
Plasschaert et al	Epithelial	Secretory	Serp1
Plasschaert et al	Epithelial	Secretory	Ppp1r1b
Plasschaert et al	Epithelial	Secretory	Lypd2
Plasschaert et al	Epithelial	Secretory	Plin2
Plasschaert et al	Epithelial	Secretory	Mgst1
Plasschaert et al	Epithelial	Secretory	mt-Atp8
Plasschaert et al	Epithelial	Secretory	Cyp4b1
Plasschaert et al	Epithelial	Secretory	Sytl2
Plasschaert et al	Epithelial	Secretory	Qsox1
Plasschaert et al	Epithelial	Secretory	Pgrmc1
Plasschaert et al	Epithelial	Secretory	Slc1a5
Plasschaert et al	Epithelial	Secretory	Kcne3
Plasschaert et al	Epithelial	Secretory	mt-Nd4l
Plasschaert et al	Epithelial	Secretory	Cckar
Plasschaert et al	Epithelial	Secretory	Notch2
Plasschaert et al	Epithelial	Secretory	Slc7a2
Plasschaert et al	Epithelial	Secretory	Mettl7a2
Plasschaert et al	Epithelial	Secretory	Sel1l
Plasschaert et al	Epithelial	Secretory	Cyp2a5
Plasschaert et al	Epithelial	Secretory	Fgfbp1
Plasschaert et al	Epithelial	Secretory	8430408G22Rik
Plasschaert et al	Epithelial	Secretory	Fam46c
Plasschaert et al	Epithelial	Secretory	mt-Nd5
Plasschaert et al	Epithelial	Secretory	Cbr2
Plasschaert et al	Epithelial	Secretory	Gm4076
